pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
Kepler-1332,b,Kepler-1332 b,Transit,0,1,11.87456832,3.749e-05,-3.749e-05,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,0.122,0.008,-0.004,0,2,,,,,0,0,1,0,19h24m06.86s,+43d54m49.2s,291.02859,1.7e-05,43.913673,1.7e-05,2,515.0,22.51,-21.12,0,3,13.756,,0,Kepler-band,13.795,,0,5581.0,83.36,-69.91,0,4,0.95,0.03,-0.04,0,1,0.9,0.04,-0.03,0,4,1,2016-05-10,Kepler
Kepler-1333,b,Kepler-1333 b,Transit,0,1,109.6471842,0.0007077,-0.0007077,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,0.251,0.036,-0.022,0,2,,,,,0,0,1,0,19h34m06.61s,+41d06m41.2s,293.527561,1.7e-05,41.111437,1.7e-05,2,958.0,134.34,-92.46,0,3,15.162,,0,Kepler-band,15.171,,0,5628.0,142.84,-162.16,0,4,0.94,0.06,-0.06,0,1,0.92,0.13,-0.08,0,4,1,2016-05-10,Kepler
Kepler-1334,b,Kepler-1334 b,Transit,0,1,15.64591713,7.265e-05,-7.265e-05,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,0.204,0.028,-0.016,0,2,,,,,0,0,1,0,19h17m14.76s,+51d19m15.1s,289.31148,1.7e-05,51.320866,1.7e-05,2,1047.0,141.02,-79.34,0,3,15.241,,0,Kepler-band,15.171,,0,5614.0,91.79,-87.5,0,4,0.94,0.04,-0.05,0,1,0.91,0.12,-0.06,0,4,1,2016-05-10,Kepler
Kepler-1335,b,Kepler-1335 b,Transit,0,1,6.26406846,2.706e-05,-2.706e-05,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.129,0.009,-0.008,0,2,,,,,0,0,1,0,18h59m21.22s,+42d04m13.6s,284.838408,1.9e-05,42.070431,1.7e-05,2,628.0,28.34,-38.14,0,3,15.329,,0,Kepler-band,15.304,,0,4903.0,66.92,-62.59,0,4,0.77,0.04,-0.04,0,1,0.74,0.03,-0.04,0,4,1,2016-05-10,Kepler
Kepler-1336,b,Kepler-1336 b,Transit,0,2,23.198681,0.0002546,-0.0002546,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,0.177,0.027,-0.036,0,2,,,,,0,0,1,0,19h45m06.65s,+46d53m59.5s,296.277711,1.9e-05,46.899857,1.7e-05,2,822.0,119.57,-166.9,0,3,14.056,,0,Kepler-band,14.038,,0,5512.0,86.32,-66.78,0,5,0.94,0.05,-0.04,0,1,1.3,0.19,-0.26,0,4,1,2016-05-10,Kepler
Kepler-1336,c,Kepler-1336 c,Transit,0,2,5.77721211,2.788e-05,-2.788e-05,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.153,0.024,-0.031,0,2,,,,,0,0,1,0,19h45m06.65s,+46d53m59.5s,296.277711,1.9e-05,46.899857,1.7e-05,2,822.0,119.57,-166.9,0,3,14.056,,0,Kepler-band,14.038,,0,5512.0,86.32,-66.78,0,5,0.94,0.05,-0.04,0,1,1.3,0.19,-0.26,0,4,1,2016-05-10,Kepler
Kepler-1337,b,Kepler-1337 b,Transit,0,1,24.4002549,0.0001089,-0.0001089,0,3,,,,,0,,,,,0,,,,,0,,,,,0,,0.215,0.009,-0.039,0,2,,,,,0,0,1,0,19h08m02.18s,+46d47m46.0s,287.009098,1.9e-05,46.796101,1.7e-05,2,588.0,29.44,-46.1,0,3,15.858,,0,Kepler-band,15.817,,0,4523.0,51.15,-50.38,0,4,0.7,0.04,-0.05,0,1,0.67,0.03,-0.05,0,4,1,2016-05-10,Kepler
Kepler-1338,b,Kepler-1338 b,Transit,0,1,0.93511806,2.76e-06,-2.76e-06,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.082,0.017,-0.009,0,2,,,,,0,0,1,0,18h56m10.16s,+41d41m56.9s,284.042335,2.2e-05,41.699139,1.7e-05,2,619.0,126.75,-67.09,0,3,13.615,,0,Kepler-band,13.574,,0,5909.0,114.45,-138.71,0,4,1.04,0.08,-0.07,0,1,1.05,0.21,-0.11,0,4,1,2016-05-10,Kepler
Kepler-1339,b,Kepler-1339 b,Transit,0,1,1.34155513,3.7e-06,-3.7e-06,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.063,0.005,-0.004,0,2,,,,,0,0,1,0,18h54m58.99s,+48d22m24.2s,283.745794,2.2e-05,48.373394,1.7e-05,2,267.0,18.41,-15.41,0,3,12.299,,0,Kepler-band,12.123,,0,5586.0,51.01,-56.05,0,3,0.94,0.03,-0.04,0,1,0.93,0.06,-0.05,0,3,1,2016-05-10,Kepler
Kepler-1340,b,Kepler-1340 b,Transit,0,1,0.66502692,1.6e-06,-1.6e-06,0,2,,,,,0,,,,,0,,,,,0,,,,,0,,0.138,0.062,-0.024,0,2,,,,,0,0,1,0,19h44m55.87s,+42d28m22.0s,296.232807,1.9e-05,42.47279,1.7e-05,2,1421.0,620.3,-262.92,0,3,14.758,,0,Kepler-band,14.755,,0,6331.0,166.81,-219.14,0,4,1.27,0.2,-0.14,0,1,1.42,0.64,-0.25,0,4,1,2016-05-10,Kepler
