pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
Kepler-160,b,Kepler-160 b,Transit,0,2,4.309427,1.70E-05,-1.70E-05,0,4,0.05,,,0,1,,,,,0,,,,,0,,,,,0,,0.137,0.068,-0.068,0,3,,,,,0,0,1,0,19h11m05.66s,+42d52m09.4s,287.773581,1.70E-05,42.869286,1.70E-05,2,962.92,16.95,-16.95,0,3,14.619,,0,Kepler-band,14.616,,0,5857,200,-200,0,6,,,,,1,0.88,0.43,-0.43,0,6,1,5/14/2014,Kepler
Kepler-160,c,Kepler-160 c,Transit,0,2,13.699087,3.10E-05,-3.10E-05,0,3,0.109,,,0,1,,,,,0,,,,,0,,,,,0,,0.322,0.158,-0.158,0,3,,,,,0,1,1,0,19h11m05.66s,+42d52m09.4s,287.773581,1.70E-05,42.869286,1.70E-05,2,962.92,16.95,-16.95,0,3,14.619,,0,Kepler-band,14.616,,0,5857,200,-200,0,6,,,,,1,0.88,0.43,-0.43,0,6,1,5/14/2014,Kepler
Kepler-161,b,Kepler-161 b,Transit,0,2,4.921355,6.00E-06,-6.00E-06,0,5,0.054,,,0,1,,,,,0,,,,,0,,,,,1,,0.189,0.012,-0.012,0,4,,,,,0,0,1,0,19h22m03.96s,+43d05m01.8s,290.516491,1.70E-05,43.083824,1.70E-05,2,440.15,3.13,-3.13,0,3,14.196,,0,Kepler-band,14.192,,0,5078,100,-100,0,6,,,,,3,0.81,0.05,-0.05,0,7,1,5/14/2014,Kepler
Kepler-161,c,Kepler-161 c,Transit,0,2,7.06424,1.10E-05,-1.10E-05,0,4,0.068,,,0,1,,,,,0,,,,,0,,,,,1,,0.183,0.013,-0.013,0,4,,,,,0,1,1,0,19h22m03.96s,+43d05m01.8s,290.516491,1.70E-05,43.083824,1.70E-05,2,440.15,3.13,-3.13,0,3,14.196,,0,Kepler-band,14.192,,0,5078,100,-100,0,6,,,,,3,0.81,0.05,-0.05,0,7,1,5/14/2014,Kepler
Kepler-162,b,Kepler-162 b,Transit,0,2,6.919798,5.20E-05,-5.20E-05,0,3,0.069,,,0,1,,,,,0,,,,,0,,,,,0,,0.112,0.06,-0.06,0,3,,,,,0,0,1,0,19h49m06.94s,+43d43m26.5s,297.27891,1.70E-05,43.724018,1.70E-05,2,877.01,15.4,-15.4,0,3,14.248,,0,Kepler-band,14.223,,0,5816,200,-200,0,6,,,,,1,0.96,0.51,-0.51,0,6,1,5/14/2014,Kepler
Kepler-162,c,Kepler-162 c,Transit,0,2,19.446355,4.50E-05,-4.50E-05,0,4,0.137,,,0,1,,,,,0,,,,,0,,,,,0,,0.27,0.145,-0.145,0,3,,,,,0,0,1,0,19h49m06.94s,+43d43m26.5s,297.27891,1.70E-05,43.724018,1.70E-05,2,877.01,15.4,-15.4,0,3,14.248,,0,Kepler-band,14.223,,0,5816,200,-200,0,6,,,,,1,0.96,0.51,-0.51,0,6,1,5/14/2014,Kepler
Kepler-163,b,Kepler-163 b,Transit,0,2,7.810937,0.000107,-0.000107,0,3,0.078,,,0,1,,,,,0,,,,,0,,,,,0,,0.094,0.039,-0.039,0,3,,,,,0,0,1,0,19h40m00.68s,+46d59m14.4s,295.002819,1.90E-05,46.987328,1.70E-05,2,703.69,10.19,-10.19,0,3,14.415,,0,Kepler-band,14.38,,0,5776,200,-200,0,6,,,,,2,0.92,0.38,-0.38,0,6,1,5/14/2014,Kepler
Kepler-163,c,Kepler-163 c,Transit,0,2,21.347262,8.10E-05,-8.10E-05,0,4,0.152,,,0,1,,,,,0,,,,,0,,,,,0,,0.202,0.084,-0.084,0,3,,,,,0,0,1,0,19h40m00.68s,+46d59m14.4s,295.002819,1.90E-05,46.987328,1.70E-05,2,703.69,10.19,-10.19,0,3,14.415,,0,Kepler-band,14.38,,0,5776,200,-200,0,6,,,,,2,0.92,0.38,-0.38,0,6,1,5/14/2014,Kepler
Kepler-164,b,Kepler-164 b,Transit,0,3,5.03503,2.70E-05,-2.70E-05,0,3,0.058,,,0,1,,,,,0,,,,,0,,,,,0,,0.126,0.025,-0.025,0,3,,,,,0,0,1,0,19h11m07.40s,+47d37m47.7s,287.780828,1.90E-05,47.629913,1.70E-05,2,914.18,14.09,-14.09,0,3,14.282,,0,Kepler-band,14.233,,0,5888,113,-113,0,6,,,,,2,1.15,0.22,-0.22,0,6,1,5/14/2014,Kepler
Kepler-164,c,Kepler-164 c,Transit,0,3,10.945723,2.90E-05,-2.90E-05,0,4,0.097,,,0,1,,,,,0,,,,,0,,,,,0,,0.244,0.046,-0.046,0,3,,,,,0,0,1,0,19h11m07.40s,+47d37m47.7s,287.780828,1.90E-05,47.629913,1.70E-05,2,914.18,14.09,-14.09,0,3,14.282,,0,Kepler-band,14.233,,0,5888,113,-113,0,6,,,,,2,1.15,0.22,-0.22,0,6,1,5/14/2014,Kepler
Kepler-164,d,Kepler-164 d,Transit,0,3,28.986769,0.000162,-0.000162,0,4,0.187,,,0,1,,,,,0,,,,,0,,,,,0,,0.219,0.042,-0.042,0,3,,,,,0,0,1,0,19h11m07.40s,+47d37m47.7s,287.780828,1.90E-05,47.629913,1.70E-05,2,914.18,14.09,-14.09,0,3,14.282,,0,Kepler-band,14.233,,0,5888,113,-113,0,6,,,,,2,1.15,0.22,-0.22,0,6,1,5/14/2014,Kepler
Kepler-165,b,Kepler-165 b,Transit,0,2,8.180848,2.60E-05,-2.60E-05,0,4,0.072,,,0,1,,,,,0,,,,,0,,,,,0,,0.207,0.126,-0.126,0,3,,,,,0,0,1,0,18h42m45.84s,+47d48m35.0s,280.691016,1.70E-05,47.809735,1.70E-05,2,570.07,6.42,-6.42,0,3,14.802,,0,Kepler-band,14.794,,0,5211,200,-200,0,7,,,,,1,0.77,0.47,-0.47,0,6,1,5/14/2014,Kepler
Kepler-165,c,Kepler-165 c,Transit,0,2,15.31299,5.70E-05,-5.70E-05,0,4,0.11,,,0,1,,,,,0,,,,,0,,,,,0,,0.199,0.12,-0.12,0,3,,,,,0,0,1,0,18h42m45.84s,+47d48m35.0s,280.691016,1.70E-05,47.809735,1.70E-05,2,570.07,6.42,-6.42,0,3,14.802,,0,Kepler-band,14.794,,0,5211,200,-200,0,7,,,,,1,0.77,0.47,-0.47,0,6,1,5/14/2014,Kepler
Kepler-166,b,Kepler-166 b,Transit,0,3,7.650254,1.20E-05,-1.20E-05,0,4,0.072,,,0,1,,,,,0,,,,,0,,,,,0,,0.203,0.104,-0.104,0,3,,,,,0,0,1,0,19h32m38.44s,+48d52m52.3s,293.160171,1.70E-05,48.881191,1.70E-05,2,614.16,7.56,-7.56,0,3,14.701,,0,Kepler-band,14.685,,0,5413,200,-200,0,6,,,,,1,0.74,0.38,-0.38,0,6,1,5/14/2014,Kepler
